경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
123,2018.01.04,한국전력,2:3,104,113,2h 15m,lose,014,삼성화재
166,2018.02.07,한국전력,2:3,97,101,2h 04m,lose,014,삼성화재
215,2018.03.13,한국전력,0:3,69,79,1h 27m,lose,014,삼성화재
10,2017.10.20,OK금융그룹,1:3,86,95,1h 42m,lose,014,삼성화재
63,2017.11.25,OK금융그룹,3:0,75,57,1h 13m,win,014,삼성화재
100,2017.12.20,OK금융그룹,3:0,83,71,1h 34m,win,014,삼성화재
134,2018.01.11,OK금융그룹,3:2,111,102,2h 03m,win,014,삼성화재
151,2018.01.28,OK금융그룹,3:2,109,102,2h 07m,win,014,삼성화재
201,2018.03.03,OK금융그룹,3:0,75,57,1h 12m,win,014,삼성화재
18,2017.10.25,우리카드,3:2,113,107,2h 10m,win,014,삼성화재
70,2017.11.29,우리카드,3:1,98,85,1h 45m,win,014,삼성화재
105,2017.12.24,우리카드,3:2,101,102,2h 02m,win,014,삼성화재
138,2018.01.14,우리카드,3:2,109,100,2h 04m,win,014,삼성화재
158,2018.02.02,우리카드,3:2,108,106,2h 06m,win,014,삼성화재
208,2018.03.08,우리카드,1:3,82,97,1h 40m,lose,014,삼성화재
21,2017.10.28,대한항공,3:0,77,70,1h 29m,win,014,KB손해보험
52,2017.11.17,대한항공,3:2,107,108,2h 15m,win,014,KB손해보험
88,2017.12.12,대한항공,2:3,99,106,2h 03m,lose,014,KB손해보험
122,2018.01.03,대한항공,2:3,106,113,2h 15m,lose,014,KB손해보험
178,2018.02.15,대한항공,0:3,58,79,1h 21m,lose,014,KB손해보험
183,2018.02.18,대한항공,3:0,75,69,1h 29m,win,014,KB손해보험
3,2017.10.15,삼성화재,3:2,106,103,2h 00m,win,014,KB손해보험
60,2017.11.22,삼성화재,2:3,108,106,2h 07m,lose,014,KB손해보험
93,2017.12.15,삼성화재,1:3,76,94,1h 40m,lose,014,KB손해보험
127,2018.01.07,삼성화재,1:3,88,91,1h 47m,lose,014,KB손해보험
172,2018.02.11,삼성화재,3:1,97,88,1h 49m,win,014,KB손해보험
191,2018.02.23,삼성화재,0:3,66,75,1h 19m,lose,014,KB손해보험
8,2017.10.18,현대캐피탈,3:0,81,61,1h 25m,win,014,KB손해보험
